,Representation,Count
0,"['to', 'the', 'and', 'is', 'of', 'for', 'in', 'you', 'it', 'that']",6936
1,"['he', 'year', 'game', 'baseball', 'hit', 'players', 'team', 'games', 'won', 'his']",735
2,"['key', 'clipper', 'chip', 'encryption', 'keys', 'escrow', 'government', 'nsa', 'algorithm', 'secure']",585
3,"['israel', 'israeli', 'jews', 'arab', 'jewish', 'arabs', 'palestinian', 'palestinians', 'not', 'of']",476
4,"['monitor', 'card', 'video', 'drivers', 'vga', 'screen', 'monitors', 'diamond', 'cards', 'mode']",453
5,"['drive', 'scsi', 'drives', 'ide', 'disk', 'controller', 'hard', 'scsi2', 'bios', 'bus']",431
6,"['nan', 'nanci', 'answer', 'maybe', 'post', 'key', 'id', 'while', 'too', 'after']",381
7,"['koresh', 'fbi', 'fire', 'gas', 'compound', 'children', 'batf', 'they', 'was', 'tear']",235
8,"['car', 'cars', 'ford', 'mustang', 'v8', 'engine', 'v6', 'convertible', 'audi', 'wagon']",181
9,"['armenian', 'armenians', 'were', 'turkish', 'they', 'armenia', 'turkey', 'azerbaijan', 'had', 'was']",179
10,"['jpeg', 'image', 'gif', 'format', 'images', 'file', 'files', 'color', 'jfif', 'quality']",175
11,"['gay', 'sex', 'homosexual', 'sexual', 'men', 'kinsey', 'homosexuals', 'homosexuality', 'clayton', 'gays']",167
12,"['printer', 'print', 'hp', 'deskjet', 'ink', 'printers', 'laser', 'paper', 'printing', 'postscript']",155
13,"['gun', 'guns', 'crime', 'firearms', 'homicide', 'weapons', 'homicides', 'deaths', 'handguns', 'weapon']",155
14,"['espn', 'game', 'pt', 'pts', 'la', 'hockey', 'games', 'abc', 'coverage', 'baseball']",153
15,"['ites', 'cheek', 'yep', 'huh', 'ken', 'art', 'why', 'each', 'very', 'good']",146
16,"['atheists', 'atheism', 'god', 'atheist', 'argument', 'belief', 'believe', 'religion', 'beliefs', 'faith']",143
17,"['bike', 'bikes', 'miles', 'honda', 'motorcycle', 'engine', 'rear', 'ride', 'seat', 'yamaha']",141
